"","open","ID","Threshold","max","Condition","age","gender"
"1",0,24579302,3,0.995,"Patent",31,1
"2",0,1212,17,0.980891719745223,"Patent",24,0
"3",1,1212,17,0.975,"Patent",24,0
"4",0,12345,37,0.954838709677419,"Patent",27,1
"5",1,12345,37,0.976190476190476,"Patent",27,1
"6",0,203122791,23,0.869565217391304,"Patent",27,0
"7",1,203122791,23,0.891891891891892,"Patent",27,0
"8",0,203347679,17,0.896739130434783,"Patent",26,0
"9",1,203347679,27,1,"Patent",26,0
"10",0,203355011,17,0.815789473684211,"Patent",27,0
"11",1,203355011,23,0.981481481481482,"Patent",27,0
"12",0,203865027,23,0.955696202531646,"Patent",25,0
"13",1,203865027,23,0.962962962962963,"Patent",25,0
"14",0,204188593,17,0.904761904761905,"Patent",26,0
"15",1,204188593,37,1,"Patent",26,0
"16",0,204188940,17,0.796954314720812,"Patent",26,1
"17",1,204188940,27,1,"Patent",26,1
"18",0,204355532,17,0.875,"Patent",26,1
"19",1,204355532,37,1,"Patent",26,1
"20",0,204484828,37,0.869318181818182,"Patent",25,1
"21",1,204484828,37,0.739130434782609,"Patent",25,1
"22",0,204547871,33,0.689655172413793,"Patent",25,0
"23",1,204547871,37,1,"Patent",25,0
"24",0,204688386,37,0.789189189189189,"Patent",26,1
"25",1,204688386,37,1,"Patent",26,1
"26",0,204701791,17,0.936305732484076,"Patent",26,1
"27",1,204701791,17,1,"Patent",26,1
"28",0,204708143,23,0.830769230769231,"Patent",26,1
"29",1,204708143,23,1,"Patent",26,1
"30",0,205400252,37,0.980519480519481,"Patent",24,0
"31",1,205400252,37,1,"Patent",24,0
"32",0,205664741,17,0.96045197740113,"Patent",24,0
"33",1,205664741,27,0.91304347826087,"Patent",24,0
"34",0,205686934,17,0.919540229885057,"Patent",24,1
"35",1,205686934,27,0.8,"Patent",24,1
"36",0,205788581,27,0.910179640718563,"Patent",24,0
"37",1,205788581,23,0.903225806451613,"Patent",24,0
"38",0,205794159,17,0.878048780487805,"Patent",24,1
"39",1,205794159,23,0.888888888888889,"Patent",24,1
"40",0,206053407,7,0.905,"Patent",23,0
"41",0,206545964,23,0.930851063829787,"Patent",20,0
